EnglishWord,TranslatedWord,Prompt,Response_Correct,Response_Incorrect
baby,baby,EnglishPrompt/baby.mp3,EnglishResponse/Correct/baby_correct.mp3,EnglishResponse/Incorrect/baby_incorrect.mp3
beach,beach,EnglishPrompt/beach.mp3,EnglishResponse/Correct/beach_correct.mp3,EnglishResponse/Incorrect/beach_incorrect.mp3
cloud,cloud,EnglishPrompt/cloud.mp3,EnglishResponse/Correct/cloud_correct.mp3,EnglishResponse/Incorrect/cloud_incorrect.mp3
forest,forest,EnglishPrompt/forest.mp3,EnglishResponse/Correct/forest_correct.mp3,EnglishResponse/Incorrect/forest_incorrect.mp3
grass,grass,EnglishPrompt/grass.mp3,EnglishResponse/Correct/grass_correct.mp3,EnglishResponse/Incorrect/grass_incorrect.mp3
hill,hill,EnglishPrompt/hill.mp3,EnglishResponse/Correct/hill_correct.mp3,EnglishResponse/Incorrect/hill_incorrect.mp3
ice,ice,EnglishPrompt/ice.mp3,EnglishResponse/Correct/ice_correct.mp3,EnglishResponse/Incorrect/ice_incorrect.mp3
island,island,EnglishPrompt/island.mp3,EnglishResponse/Correct/island_correct.mp3,EnglishResponse/Incorrect/island_incorrect.mp3
leaf,leaf,EnglishPrompt/leaf.mp3,EnglishResponse/Correct/leaf_correct.mp3,EnglishResponse/Incorrect/leaf_incorrect.mp3
lion,lion,EnglishPrompt/lion.mp3,EnglishResponse/Correct/lion_correct.mp3,EnglishResponse/Incorrect/lion_incorrect.mp3
market,market,EnglishPrompt/market.mp3,EnglishResponse/Correct/market_correct.mp3,EnglishResponse/Incorrect/market_incorrect.mp3
mountain,mountain,EnglishPrompt/mountain.mp3,EnglishResponse/Correct/mountain_correct.mp3,EnglishResponse/Incorrect/mountain_incorrect.mp3
park,park,EnglishPrompt/park.mp3,EnglishResponse/Correct/park_correct.mp3,EnglishResponse/Incorrect/park_incorrect.mp3
plant,plant,EnglishPrompt/plant.mp3,EnglishResponse/Correct/plant_correct.mp3,EnglishResponse/Incorrect/plant_incorrect.mp3
rainbow,rainbow,EnglishPrompt/rainbow.mp3,EnglishResponse/Correct/rainbow_correct.mp3,EnglishResponse/Incorrect/rainbow_incorrect.mp3
river,river,EnglishPrompt/river.mp3,EnglishResponse/Correct/river_correct.mp3,EnglishResponse/Incorrect/river_incorrect.mp3
shadow,shadow,EnglishPrompt/shadow.mp3,EnglishResponse/Correct/shadow_correct.mp3,EnglishResponse/Incorrect/shadow_incorrect.mp3
stone,stone,EnglishPrompt/stone.mp3,EnglishResponse/Correct/stone_correct.mp3,EnglishResponse/Incorrect/stone_incorrect.mp3
tower,tower,EnglishPrompt/tower.mp3,EnglishResponse/Correct/tower_correct.mp3,EnglishResponse/Incorrect/tower_incorrect.mp3
vase,vase,EnglishPrompt/vase.mp3,EnglishResponse/Correct/vase_correct.mp3,EnglishResponse/Incorrect/vase_incorrect.mp3
village,village,EnglishPrompt/village.mp3,EnglishResponse/Correct/village_correct.mp3,EnglishResponse/Incorrect/village_incorrect.mp3
wave,wave,EnglishPrompt/wave.mp3,EnglishResponse/Correct/wave_correct.mp3,EnglishResponse/Incorrect/wave_incorrect.mp3
wind,wind,EnglishPrompt/wind.mp3,EnglishResponse/Correct/wind_correct.mp3,EnglishResponse/Incorrect/wind_incorrect.mp3
wolf,wolf,EnglishPrompt/wolf.mp3,EnglishResponse/Correct/wolf_correct.mp3,EnglishResponse/Incorrect/wolf_incorrect.mp3
year,year,EnglishPrompt/year.mp3,EnglishResponse/Correct/year_correct.mp3,EnglishResponse/Incorrect/year_incorrect.mp3
king,king,EnglishPrompt/king.mp3,EnglishResponse/Correct/king_correct.mp3,EnglishResponse/Incorrect/king_incorrect.mp3
queen,queen,EnglishPrompt/queen.mp3,EnglishResponse/Correct/queen_correct.mp3,EnglishResponse/Incorrect/queen_incorrect.mp3
bread,bread,EnglishPrompt/bread.mp3,EnglishResponse/Correct/bread_correct.mp3,EnglishResponse/Incorrect/bread_incorrect.mp3
cake,cake,EnglishPrompt/cake.mp3,EnglishResponse/Correct/cake_correct.mp3,EnglishResponse/Incorrect/cake_incorrect.mp3
cheese,cheese,EnglishPrompt/cheese.mp3,EnglishResponse/Correct/cheese_correct.mp3,EnglishResponse/Incorrect/cheese_incorrect.mp3
doctor,doctor,EnglishPrompt/doctor.mp3,EnglishResponse/Correct/doctor_correct.mp3,EnglishResponse/Incorrect/doctor_incorrect.mp3
friend,friend,EnglishPrompt/friend.mp3,EnglishResponse/Correct/friend_correct.mp3,EnglishResponse/Incorrect/friend_incorrect.mp3
game,game,EnglishPrompt/game.mp3,EnglishResponse/Correct/game_correct.mp3,EnglishResponse/Incorrect/game_incorrect.mp3
gift,gift,EnglishPrompt/gift.mp3,EnglishResponse/Correct/gift_correct.mp3,EnglishResponse/Incorrect/gift_incorrect.mp3
horse,horse,EnglishPrompt/horse.mp3,EnglishResponse/Correct/horse_correct.mp3,EnglishResponse/Incorrect/horse_incorrect.mp3
knife,knife,EnglishPrompt/knife.mp3,EnglishResponse/Correct/knife_correct.mp3,EnglishResponse/Incorrect/knife_incorrect.mp3
letter,letter,EnglishPrompt/letter.mp3,EnglishResponse/Correct/letter_correct.mp3,EnglishResponse/Incorrect/letter_incorrect.mp3
road,road,EnglishPrompt/road.mp3,EnglishResponse/Correct/road_correct.mp3,EnglishResponse/Incorrect/road_incorrect.mp3
school,school,EnglishPrompt/school.mp3,EnglishResponse/Correct/school_correct.mp3,EnglishResponse/Incorrect/school_incorrect.mp3
window,window,EnglishPrompt/window.mp3,EnglishResponse/Correct/window_correct.mp3,EnglishResponse/Incorrect/window_incorrect.mp3
zoo,zoo,EnglishPrompt/zoo.mp3,EnglishResponse/Correct/zoo_correct.mp3,EnglishResponse/Incorrect/zoo_incorrect.mp3
boat,boat,EnglishPrompt/boat.mp3,EnglishResponse/Correct/boat_correct.mp3,EnglishResponse/Incorrect/boat_incorrect.mp3
